abfragefenster;qüry window
messungslinie;aligning base
näherungskoordinaten;approximation coordinates
neigungswinkel;angle of slope
oberfläche;surface
richtungswinkel;angle of direction
scheitelpunkt;apex
vorwärtseinschnitt;intersection
winkelabschlussfehler;angular closure error
winkelsummengleichung;angular equation
winkelfehler;angular error
winkelmessung;ange measurement
winkel;angle
lage;face
umklappeffekt;scattering effect
zulässiger fehler;admissable error
zufälliger fehler;accidental error
rückblick;back obsevation
vorblick;forth observation
barometer;barometer
barometrischer höhenmesser;barometric altimeter
basis;base
basismessung;base measurement
richtungswinkel;bearing of a line
bogenanfang;beginning of curve
höhenbolzen;bench mark
nivellementpunkt;bench mark
berme;berm
grenzstein;border stone
grenzstein;boundary stone
libellenachse;bubble axis
flächenberechnung;calculation of area
fahrbahn;carriageway
trägerwellenlänge;carrier wave length
achslinie;centre line
achspunkt;center line point
bogenmitte;centre of curve
zentrier fehler;centring error
kanal;channel
vergleichsmessungen;check measurement
sehnentangentenwinkel;chord tangent angle
krümmungskreis;circle of curvature
teilkreisverstellung;circle orienting knob
bogenmass;circular measure
lattenrichter;circular rod level
arretierung;clamp
feststellschraube;clamping screw
geschlossener polygonzug;closed traverse
koordinatenabschlussfehler;closing error of a traverse
höhenabschlussfehler;closing height error
klothoide;clothoid
vergleichsmessungen;comparative
komparator;comparator
eichstrecke;comparator base
vergleichsstrecke;comparison line
feldvergleich;comparison on site
ortsvergleich;comparison on site
ausgleichsparameter;compensation parameter
korbklothoide;compound clothoid
fehlerberechnung;computation of errors
schnittberechnung;computation of intersections
festpunktberechnung;computation of points determined
kleinpunktberechnung;in a net of aligning. bases
massenberechnung;computation of quantities
kleinpunktberechnung;computation of side shots
schnittbedingungen;conditions of intersection
anschlusswinkel;connecting angle
anschlussrichtung;connecting direction
anschlusspunkt;connecting point
setzung;consolidation
kontrollmass;control distance
kontrollmessung;control measurement
festpunkt;control point
kontrollpunkte;control points
koordinatendifferenz;coordinate difference
koordinaten;coordinates
flächeneckpunkte;corner points of an area
fadenkreuz;cross hair
qürprofil;cross section
kreuzscheibe;cross staff
qürschnitt;cross section
bordstein;curb
krümmung;curvature
schleife;cycle loop
zyklischer phasenfehler;cyclic phase error
talspere;dam
damm;dam
deklination;declination
gefälle;declivity
deformationsmessungen;deformation measurements
punktdichte;density of points
entwurf;design
ablenkprisma;deviating prism.
lichtpause;diazo print
differenz;difference
höhenunterschied;difference in elevation
direkte beobachtung;direct observation
richtung;direction
richtungsbeobachtung;direction observation
verzerrung;disortion
streckenfehler;distance error
streckenmessung;distance measurement
entfernungsmessgerät;distance measurement instrument
teilkreis;divided circle
wendelatte;double-sided staff
entwurf;draft
rechtswert;easting
zielachsenexzentrizität;eccentricity of collimation axis
teilkreisexzentrizität;eccentricity of graduated circle
eilinie;egg-shaped line
elektrooptische entfernungsmessung;electro-optical distance measurement
höhe;elevation
kote;elevation number
bogenende;end of curve
endpunkt;endpoint
fehlerverteilung;error distribution
fehlerellipse;error ellipse
fehlergrenze;error limit
abschlussfehler;error of closure
richtungsfehler;error of direction
streckenfehler;error of distance
kippachsenfehler;error of horizontal axis
achsenneigung;error of horizontal axis
längenabweichung;error of length
messungsfehler;error of measurement
beobachtungsfehler;error of observation
einstellfehler;error of pointing
zielfehler;error of pointing
lagefehler;error of position
ablesefehler;error of reading
stehachsenfehler;error of the vertical axis
vertikalachsenfehler;error of the vertical axis
achsenneigung;error of tilting
kippachsenfehler;error of tilting
höhenindexabweichung;error of vertikal collimation
schätzung;estimation
auswertung;evaluation
okular;eyepiece
fernrohrlage;face postition of the telescope
einwandfreie vermessung;faultless surveying
fehlerhaft;faulty
messungsprotokoll;field book
feldbuchrahmen;field book frame
erkundung;field reconnaissance
feldbuch;field notebook
feldarbeiten;field work
feinablesung;fine reading
maürbolzen;fixing bolt
fluchtstab;flagpole
gehweg;footway
zwangszentrierung;forced centring
vorblick;fore-sight
berechnungsart;form of computation
freie stationierung;free stationing
freqünzmodulation;freqüncy modulation
grundstück;funds
stollen;gallery
neugrad;gon
steigung;gradient
teilkreis;graduated circle
teilstrich;graduation line
grosskreis;great circle
gitter;grid
netz;grid
netz;net
richtungswinkel;grid bearing
grober fehler;gross error
geländepunkte;ground survey points
grundwasser;ground water
aufsatzkreisel;gyroscope attachment
höhengenauigkeit;height accuracy
höhendifferenz;height difference
instrumentenhöhe;height of instrument
helmert projektion;helmert projection
helmert transformation;helmert transformation
horizont;horizon
kippachse;horizontal axis
horizontalkreis;horizontal circle
wasserbau;hydraulic engineering
beleuchtungseinrichtung;illuminiating equipment
unzugänglich;inaccessible
kippachsenfehler;inclination of trunnion axis
rampe;inclined plane
richtungssatz;round of direction
beobachtung;observation
messungenauigkeiten;inexactitudes of measurement
wendelinie;inflection line
infrastruktur;infrastructure
originalmessungen;initial measurement
instrumentenfehler;instrumental error
zwischenblick;intermediate fore-sight
lichte weite;internal diameter
interpolation;interpolation
vorwärtseinschneiden;intersection
vorwärtseinschnitt;intersection
geradenschnitt;intersection of straight lines
schnittpunkt;intersection point
iteration;iteration
anschlussbedingungen;junction conditions
knotenpunkt;junction poin
bordstein;kerb
bordsteinkurve;kerb curve
tastatur;keyboard
kuppe;knob
grundstück;landed property
qürformat;landscape
qürfehler;lateral error
qürabweichung;cross deviation
qürneigung;lateral tilt
seitenverkehrt;laterally reversed
abstecken;laying out
absteckung;laying out
tunnelabsteckung;laying out of a tunnel
absteckplan;layout plan
länge;length
bogenlänge;length of curve
nivellier;level
nivellierinstrument;level
libelle;leve
libelle;bubble
libellenachse;level axis
nivellement;levelling
schleifenschlussfehler;levelling error of closure
stehachsenfehler;levelling error
nivellierfaden;levelling hair
nivellementzug;levelling line
nivellementschleife;levelling loo
nivellierlatte;level rod
fallinie;line of greatest slope
standpunkt;location
lageplan;location plan
feststellschaube;locking screw
längsrichtung;long direction
längsfehler;longitudinal error
längsgefälle;longitudinal slope
längenschitt;longitudinal section
schleife;loop
lupe;magnifying glass
vermarken;mark
bogenabsteckung;marking out a curve
mittlerer fehler;mean square error
mittelwert;mean valü
messanordnung;measuring arrangement
vermessungsinstrumente;measuring instruments
messmethode;measuring method
satzweise winkelmessung;measuring of angles in sets
messbereich;measuring range
bandmass;measuring tape
massband;measuring tap
schleppkurve;minimum turning curve
bogenminute;minute
abschlussfehler;misclosure
plausibelster wert;most probable valü
landesnetz;national network
seemeile;nautical mile
netzpunkt;net point
dreiecksnetz;network of triangles
neupunkt;new point
knotenpunkt;junction poin
seitenrichtig;nonreversed
normalfall;normal case
hochwert;northing
objektiv;object lens
beobachtung;observation
zwangspunkt;obstruction
tagebau;opencast mining
bediener;operator
optische achse;optical axis
optisches lot;optical plumment
ordinate;ordinate
ordinatenachse;ordinate axis
orientierung;orientation
orientierungsfehler;orientation error
anschlussmessung;orientation measurement
anschlusspunkt;orientation point
höhennullpunkt;origin of heights
überbestimmung;overdetermination
lichte höhe;overhead clearance
parallaxe;parallax
parallelkreis;parallel
parameter;parameter
flurstück;parcel
gemeindegrenze;parish boundary
gehweg;pavement
senkrechtschnitt;perpendicular of intersections
phasenverschiebung;phase difference
bildflug;photo flight
luftbildkarte;photomap
bildmassstab;picture scale
aufsetzzapfen;plug
steckzapfen;plug
lot;plument
ablotung;plumbing down
schnittpunkt;point of intersection
polarkoordinaten;polar coordinates
polaraufnahme;polar measurements
polarpunkt;polar point
polaraufnahme;polar survey
standpunkt;position
lagegenauigkeit;position accuracy
lagedifferenzen;position difference
lagefehler;positional error
vorplanung;pre-planning
steilhang;precipice
feinnivellement;precise levelling
hauptachse;principal axis
bogenhauptpunkt;principal point of a curve
prinzip der nachbarschaft;principle of adjacent points
prisma;prism
wahrscheinlichkeit;probablility
profil;profile
projekt;project
ähnlichkeitstransformation;proportional transformation
winkelmesser;protractor
bogenmass;radian
radius;radius
rampe;ramp
zufälliger fehler;random error
unregelmässiger fehler;random error
reichweite;range of coverage
spannweite;range
sichtweite;range of visibility
fluchtstab;ranging pole
fluchtstabstativ;ranging pole support
verhältnis;ratio
grundstück;real estate
erkundung;field reconnaissance
überbestimmung;redundant
legende;reference of conventional signs
reflektor;reflector
refraktion;refraction
relativer fehler;relative error
restfehler;remaining error
fernziel;remote target
ersatzpunkt;replacement point
rückwärtseinschnitt;resection
restparallaxe;residual parallax
strichplatte;reticule plate
seitenverkehrt;reversed
winkelprisma;right angle prism
seitenrichtig;right reading
fernrohrachse;axis of the telescope
pegel;rivergauge
strasse;road
fahrbahndecke;road surfac
fahrbahn;roadway
lattenteilung;staff graduation (usa)
lattenteilung;rod graduation (gb)
lattenablesung;rod reading
rundung;rounding
strasse;route
wanne;sag
durchhang des messbandes;sag of tape
massstab;scale
bildmassstab;scale of photograph
nivellementstrecke;section of levelling
quadrant;sector
richtungssatz;set of directions
absteckungsberechnung;setting out computation
trassierungselemente;setting out data
absteckplan;setting out map
bogenabsteckung;setting out of a curve
tunnelabsteckung;setting out of a tunnel
aufstellung;setting up
aufstellungsexzentrizität;setting up eccentricity
aufstellfehler;setting-up error
setzung;settlement
kanalisation;sewerage
dreifuss;tribrach
winkelfunktionen;trigonometric functions
trigonometrische höhenmessung;trigonomic levelling
seitenrichtig;trü sided
fernrohrdrehachse kippachse;trunnion axis
kippachse;trunnion axis
stollen;tunnel
scheitelklothoide;two spirals without cicular curve
regelqürschnitt;typical cross
einheitsklothoide;unit clothoid
stadtplanung;urban planning
wert;valü
schallgeschwindigkeit;velocity of sound
nonius;vernier
vertikalwinkel;vertical angle
stehachse;vertical axis
vertikalkreis;vertical circle
höhenabschlussfehler;vertical closure
höhenabschlussfehler;vertical closure error
höhenfestpunkt;vertical control point
höhennetz;vertical control survey networ
höhensystem;vertical control system
höhenparalaxe;vertical parallax
massstab der höhen;vertical scale
sichtbarkeit;visibility
zielachse;visual axis
sichtfeld;visual field
volumen;volume
pegel;water gauge
pegel;water level
wasserstand;water level
wasserführende schichten;water-bearing formations
wasserführende schichten;water-bearing strata
fahrbahnverbreiterung;widening of carriageway lan
bussole compass;with dioter
sicherungsmarke;witness point
zenitwinkel;zenith angle
zenitdistanz;zenith distance
aufmessen;survey
vermessungsgebiet;survey area
polaraufnahme;polar surve
aufnahmenetz;survey network of lower order
höhenaufnahme;survey of the relief
aufmessung;surveying
höhensystem;system of heights
tachymeteraufnahme;tacheometer survey
tachymeterzug;tacheometer traverse
tachymetrie;tacheometry
böschung;talus
tangente;tangent
zielpunkt;target point
erdkugel;terrestrial sphere
theodolit;theodolite
soll-lage;theoretical location
fehlerlehre;theory of errors
dreidimensional;three dimensionally
gezeiten;tide
kippachse;tilting
einfluchten;to align
einspielen;to bring into coincidence
einspielen;to centre
zentrieren;to centre
eintasten;to imprint
abstecken;to layout
markieren;to mark
abnahme;to measure strike and dip of a deposit
abloten;to plumb down
anzielen;to point
runden;to round
abrunden;to round down bs
trassieren;to select and survey a route
abstecken;to set
abmarken;to set boundaries
einfluchten einweisen;to set out in line
toleranzgrenze;tolerance limit
mutterboden;top soil
topographische aufnahme;topographic survey
topographie;topography
stadtplanung;town planning
fahrarm;tracing bar
fahrarm;planimete
fahrstreifen;traffic lane
maschenweise transformation;transformation by grid
koordinatentransformation;transformation of coordinates
transformation auf linie;transformation onto a line
transformationsmassstab;transformation scale
übergangsbogen;transition curve
lichtpause;transmission print
gauss-krüger-koordinaten;transverse mecator coordinates
hauptachse;transverse axis
polygonzug;traverse
polygonzug;traverse
brechungswinkel;traverse angle
polygonseite;traverse sid
einseitig angeschlossener polygonzug;traverse tied at one end
freier polygonzug;traverse without connection
einrechnungszug;traverse without orientation
dreieck;triangle
lattenablesung;staff reading
gleisabsteckung;staking out of a railway line
standardabweichung;standard deviation
mittlerer fehler;standard error
mittlerer fehler;mean square erro
mittlerer punktfehler;standard error of position
mittlerer gewichtseinheitsfehler;standard error of unit weights
stehachse;standing axis
umdrehungsachse;standing axis
anfangspunkt;starting point
bogenanfang;starting point of a curve
stationsausgleichung;station adjustment
standpunkt;station
stationierung;stationing
zählnadel;steel pin
steilhang;steep bank
steilhang;steep slope
gerade;straight
strasse;street
aufsatzbussole;striding compass
basislatte;subtense bar
basiseinheit;subtense unit
bezugsfläche;surface
fläche;surface
fläche;area
erdkrümmung;surface curvature of the earth
untiefe;shoal
uferlinie;shore line
gehweg;sidewalk
fluchtstab;sight pole
schnurgerüst;sight rail
zielachse;sighting axis
sichtbedingungen;sighting conditions
vorzeichen;sign
fehleranfällig;error prone
ähnlichkeitstransformation;similarity transformation
einzelpunkte;single points
basisgrösse;size of base line
böschung;slope
gefälle;slope
neigung;slope
schrägentfernung;slope distance
böschungsverhältnis;slope ration
kleinkreis;smaff circle
kleinkoordinatensystem;small scale coordinate system
soldner-koordinaten;soldner coordinates
lösung;solution
regelqürschnitt;specified cross section
regelqürschnitt;typical cross
übergangsbogen;spiral curve
aufsatzlibelle;spirit level
springtide;spring tide
distanzfäden;stadia hairs
lattenfehler;staff error
abkürzung;abbreviation
fähigkeit;ability
absolute orientierung;absolute orientation
missbrauchen;abuse to
zugänglich;accessible
genauigkeit;accuracy
erreichen;achieve to
abhängiger;addict
ausgleichung (nach der methode der kleinsten quadrate);adjustment
ausgleichung vermittelnder beobachtungen;adjustment of intermediate observations
verwaltungsleiter;administration manager
erwachsen;adult
ratsam;advisable
luftbild;ärial photograph
tagesordnung;agenda
ansammeln;aggregate to
zusammengenommen;aggregate to
ansammlung;aggregation
mittelgang;aisle
erlaubnis;allowance
aluminium;aluminum (am.)       aluminium (brit.)
mehrdeutigkeit;ambiguity
betrag;amount
fälliger betrag;amount dü
analysewerkzeug;analysis tool
brechungswinkel;angle (traverse-)
blende;aperture
bewerbung;application
anwenden;apply to
auszubildender;apprentice
ausbildung;apprenticeship
näherungswerte;approximated valüs
eigenwillig;arbitrary
willkürlich;arbitrary
bogenschnitt;arc section
flächenbezogen;area related
anordnung;arrangement
ankunft;arrival
american society for photogrammetry and remote sensing;asprs
geltend machen;assert to
stellvertretender leiter;assistant manager
annahme;assumption
astronomisches (nautisches) dreieck;astronomic triangle
versuch;attempt
teilnehmen;attend to
zu händen;attention (attn)
vermeiden;avoid to
vermeidung;avoidance
richtungswinkel;azimuth
rückblick;backsight
kugellager;ball bearing
basisverhältnis;base-height ratio
höhenfestpunkt;bench mark
nutzen;benefit
jenseits;beyond
irrtum;blunder
bordkarte;boarding pass
fett gedruckt;bold
grenze (kataster-);boundary
ziegel;brick
wertpapierhandel;brokerage
maklerwesen;brokerage
dosenlibelle;bulls eye level
buchse;bush
nur ein (wert);but one (valü)
absagen;cancel to
krebs;cancer
fähigkeit;capability
grossbuchstabe;capital (letter)
erfassen;capture to
einfangen;capture to
grundzahl;cardinal number
bargeld;cash
bar bei lieferung;cash on delivery  (cod)
himmelskugel;celestial sphere
element;cell
zelle;cell
bescheinigt;certified
vorsitzende\r;chair(wo)man chairperson
schriftzeichen;character
probe;check
kontrolle;check
abgegebenes gepäck;checked baggage
brocken;chunk
dosenlibelle;circular level
bauingenieur;civil engineer
beamter;civil servant
klemme;clamp
klassifizierung;classification
beseitigen;clear to
abschlussfehler;closure error
schwerfällig;clumpsy
vollgestopft;clutter (up) to
übereinstimmen;coincide to
zielachse;collimation axis
doppelpunkt;colon
spalte;column
gebräuchlich;common
ansteckende krankheit;communicable disease
komparatorkoordinaten;comparator coodinates
maschinenkoordinaten;comparator coodinates
kompass;compass
zirkel;compass
ergänzen;complement to
vervollständigen;complement to
begreifen;comprehend to
ausführlich;comprehensive
ausmachen;comprise to
umfassen;comprise to
sich befassen;concern to
befasst sein mit;concerned with to be
bestätigen;confirm to
verwirren;confuse to
nachdenken über;consider to
betrachten;consider to
bestehen (aus);consist (of) to
daürnd;consistently
fortwärend;consistently
beschlussfähig sein;constitute a quorum to
baunivillier;construction level
beratungs-;consulting
fortwährend;continuous
ununterbrochen;continuous
zusammenziehung;contraction
festpunkt;control point
passpunkt;control point
verbotene stoffe;controlled substance
umkehrung;converse
gegenteil;converse
kosinus;cosine
kotangens;cotangent
schalter;counter
gutschein;coupon
verschiebung;crab
kurbel;crank (handle)
strichkreuz;cross hairs reticule
qürschnitt;cross section
qürprofil;cross section
kippachse;crossbar
bordstein;curb
lebenslauf;curriculum vitä (cv)
krümmung;curvature
obhut;custody
zoll;customs
sommerzeit;daylight saving time
widmen;dedicate to
ablenkung (opt. oder mechan.);deflection (am.)      deflexion (brit.)
liefern;deliver to
bedeuten;denote to
kennzeichnen;denote to
fachbereich;department
justizministerium;department of justice
abflug;departure
abhängig;dependent
ableiten;derive from to
zurück halten;detain to
bestimmung;determination
bestimmen;determine to
widmen;devote to to
wählen;dial to
stelle;digit
fernrohrlage i;direct telescope position
weglassen;disregard
nicht beachten;disregard
fernziel;distant target
unterschied;distinction
unterscheiden;distinguish to
unterscheidbar;distinguishable
zerschlagen und besiegen;divide and conqür to
abteilung;division
inländischer flug;domestic flight
libellennivellier mit festem fernrohr;dumpy level
pflicht;duty
hochpunkt;elevated point
höhe (über bezugsfläche (nn));elevation
arbeitnehmer;employee
arbeitgeber;employer
befähigen;enable to
längsüberdeckung;end (over)lap
verstärkung;enhancement
gleichung;equation
tagundnachtgleiche;equinox
verbesserungs- (fehler-) gleichungen;error equations
einrichten;establish to
festlegen;establish to
schätzen;estimate to
schätzung;estimation
ätzung;etching
überschreiten;exeed to
erfahrung;experience
gutachten;expert opinion
ausfuhrbescheinigung;export certificate
belichtung;exposure
ausdrücken;express to
fortsetzen;extend to
ausführlich;extensive
aussen;exterior
okular;eyepiece
merkmal;feature
fähre;ferry
rahmenmarken;fiducial marks
ziffer;figure
ziellinie;finish line
flüssigkeit;fluid
brennweite;focal lenght
lotfusspunkt;foot point
fussschraube;foot screws
zwangszentrierung;forced centering
vorblick;foresight
längsüberdeckung;forward overlap
bruchzahl;fractional number
bild;frame
betrug;fraud
freie stationierung;free stationing
einhängezug;free traverse
grundlagen;fundamentals
flugsteig;gate
geodätische linie;geodesic
geodätische koordinaten;geodetic coordinates
landeskoordinaten;geodetic coordinates
geodäsie;geodetic surveying
geopotentielle kote;geopotential number
erdmessung;global geodesy
behördenangestellter;government employee
teilung;graduation
korn;grain
gewähren;grant to
zugriff;grasp
verständnis;grasp
schwere;gravity
gitter;grid
frosch;ground plate
leiter der forschungsabteilung;head of research
höhe;height
teuflisch;hellacious
gelten;hold to
horizont;horizon
horizontal;horizontal
bildkoordinaten;image coordinates
bildbearbeitung;imaging
neigen;incline to
beinhalten;include to
einschliessen;include to
einblick;insight
verständnis;insight
versicherung;insurance
austauschbar;interchangeable
innere orientierung;interior orientation
dazwischen liegend;intermediate
sich vermischen;intermingle to
praktikum;internship
vorwärtsschnitt;intersection
rechnung;invoice
einbeziehen;involve to
tagesordnungspunkt;issü
kursiv gedruckt;italics in
zusammenfügen;join to
verbinden;join to
taste;key
tastatur;keyboard
hilfstastatur;keypad
laboratorium;lab
landnutzung;landuse
qür-abweichung;lateral residual
spielraum;latitude
geographische breite;latitude
spielraum;leeway
polygonseite;leg of a traverse
buchstabe;letter
brief;letter
nivelliergerät;level
libelle;level
eben;level adj.
einweisen;line in to
fluchten;line in to
strichmikroskop;line microscope
geographische länge;longitude
längs-abweichung;longitudinal residual
schleife;loop
schacht;manhole
handbuch;manual
materie;matter
sitzung;meeting
längengrad;meridian
bodenschatzsuche;mineral exploration
sich vermischen;mingle to
widerspruch;misclosure
falsche angaben;misrepresentation
mildern;mitigate to
milderung;mitigation
modellkoordinaten;model coordiantes
vermarkung;monumentation
landesvermessung;national geodetic survey
navigationsteleskop;navigation sight
vernachlässigen;neglect to
nicht-einwanderer (besucher);nonimigrant
normalgleichungen;normal equations
normalenschnitt;normal section
schreibweise;notation
schräg;obliqü
offensichtlich;obvious
gelegentlich;occasional
weglassen;omit to
einseitiger angeschlossener (toter) polygonzug;open traverse
betriebssystem;operating system
optische vergütung;optical coating
optischer strahlengang;optical train
ordnungszahl;ordinal number
orientierung;orientation
ursprung;origin
entspringen;originate to
überbestimmung;over determination
abschreiten;pace to
passpunkt;pass point
muster;pattern
verfolgung;persecution
persönlich;personal
personal;personnel
betreffen;pertain to
gehören;pertain to
tortendiagramm;pie chart
pfeiler;pillar
ebener schnitt;plane section
vermessungskunde;plane surveying
schnurlot;plumb bob
lotlinie;plumb line
durchschlagen;plunge to
verfahrensweise;policy
vieleck;polygon
polyeder;polyhedron
stellengesuch;position wanted
voraus gehen;preceed to
vorschreiben;prescribe to
vorherig;previous
vorangehend;previous
hauptpunkt;principal point
weitergehen;proceed to
verschaffen;procure to
vorzeigen;produce to
längsprofil;profil
profil;profil
vorweg;proir
unterstützen;promote to
fördern;promote to
eigenbewegung;proper motion
behauptung;proposition
lehrsatz;proposition
vertagen;prorogü to
zug;pull
zweck;purpose
rahmenmarke;quad (map)
reichweite;range
entfernung;range
fluchtstab;range pole
lattenrichter;range pole level
fluchtstabstativ;range pole tripod
zinssatz;rate
strahl;ray
annehmbar;reasonable
vernünftig;reasonable
denken;reasoning
folgern;reasoning
beweisführung;reasoning
empfang;receipt upon
wahrnehmen;recognize to
empfehlen;recommend to
empfehlen;recommend to
wiederherstellung;recovery
entzerrung;rectification
entzerren;rectify to
beziehen auf;refer to to
hinweisen auf;refer to to
anschlusspunkt;reference point
verstärken;reinforce to
relative orientierung;relative orientation
entlassen;release
loslassen;release
relief;relief
höhengliederung;relief
fernerkundung;remote sensing
ersuchen;reqüst to
forderung;requirement
anforderung;requirement
erfordernis;requirement
rückwärtsschnitt;resection
auflösung;resolution
beschluss;resolution
reagieren;respond to
antworten;respond to
wiederherstellung;restoration
zusammenfassung;r�sum�
strichkreuzplatte;reticule
fernrohrlage ii;reverse telescope position
rechter winkel;right angle
rektasczension;right ascension
zeile;row
lineal;ruler
lauflängenkodierung;run lenght encoding
durchhang;sag
verkaufsleiter;sales manager
befriedigen;satisfy to
genügen;satisfy to
erfüllen (eine bedingung-);satisfy to
skalenmikroskop;scale microscope
übersicht;scheme
schema;scheme
wissenschaftlich;scientific
sekretär;secretary
sicherheit;security
sickern;seep to
einteilung (in bereiche);segmentation
segmentierung;segmentation
unabhängig;self-contained
strafe;sentence
urteil;sentence
satz;set
verschieben;shift to
stenographie;shorthand
kurzschrift;shorthand
verschluss;shutter
qürüberdeckung;side (over)lap
sinus;sine
buchse;sleeve
hang;slope
böschung;slope
neigung;slope
glätten;smooth to
verschonen;spare to
räumlich;spatial
kugel;sphere
belegschaft;staff
ausstecken;staking
stütze;standard
kalibrierung;standardization
eichung;standardization
heften;staple to
briefpapier;stationary
stereoauswertegerät;stereoplotter
lagerung;storage
speicherung;storage
unkompliziert;straightforward
direkt;straightforward
ausreichend;sufficient
geeignet;suitable
summenprobe;sum check
überflüssig;superfluous
unnötig;superfluous
überwachen;supervise to
zusätzlich;supplemental
oberfläche;surface
messgehilfe;surveying aid
aufhängen;suspend to
aufhängung;suspension
massschneidern;tailor to
tangens;tangent
aufgabe;task
fernrohrlage 1;telescope position direct
fernrohrlage 2;telescope position reverse
begriff;term
gelände;terrain
einbindeverfahren;tie-in methode
neigen;tilt to
libellennivellier mit kippschraube;tilting level
giftig;toxic
überweisen;transfer to
polgonzug;traverse
polygonierung;traversing
dreifuss;tribrack tribrach
stativ;tripod
röhrenlibelle;tubular level
abgeben;turn in to
schreibkraft;typist
einstimmig;unanimously
einheit;unit
ungelernte arbeitskraft;unskilled worker
benutzen;utilize to
frei;vacant
verfügbar;vacant
gültig;valid
frühlingspunkt;vernal
frühlingsäquinoktium;vernal equinox
nonius;vernier
scheitelpunkt;vertex vertices
stützpunkt;vertex vertices
eckpunkt (eines dreiecks);vertex vertices
vertikal;vertical
wechselfälle;vicissitudes
unwägbarkeiten;vicissitudes
sucher;viewfinder
verzichtserklärung;waiver
streifenabstand;width-height ratio
zurück halten;withhold to
liefern;yield to
hochachtungsvoll;yours faithfully yours truly
aaa-anwendungsschema;aaa-application schemata
aaa-basisschema;aaa-basic schemata
aaa-fachschema;aaa-branch schemata
aarhus-konvention;aarhus convention
abbildender laserscanner;imaging laser scanner
abbildung;projection
abbildungsfläche;areas covered by a projection
